,fac_id,rev_id,rev_rating,review,user,rev_created_time,rev_url,rev_is_selected,fac_name,fac_is_closed,review_count,fac_rating,fac_updated_time,phone,business_url,fac_url,address,city,state,country,postal_code,latitude,longitude,cat1,cat2,cat3,cat4,cat5,cat6
6990,jpVV4oC-q30-wK3dnGnysA,Yp6qR29eohQAp6_DEEXD-Q,1,"what a shit hole. this place looks like a abandoned hospital out of a bad movie. everything is dirty and outdated. despite the no animals signs, there are animals everywhere. the floors are always dirty, face masks are used and left on chairs, not sure why there is always good food on the floor and absolutely not sanitary. i have been public restrooms in better shape. sad to see.",Paul S.,2020-01-23,https://www.yelp.com/biz/marina-del-rey-hospital-marina-del-rey-3?adjust_creative=upenn&hrid=Yp6qR29eohQAp6_DEEXD-Q&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Marina Del Rey Hospital,False,361,3.0,2020-06-24T14:10:01,13108238911.0,https://www.marinahospital.com,https://www.yelp.com/biz/marina-del-rey-hospital-marina-del-rey-3?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,4650 Lincoln Blvd,Marina Del Rey,CA,US,90292.0,,,Hospitals,,,,,
7664,VrYKvvZ7Ko9a9XJ2OrBing,Cr1ve7MCznfjGqM0mCU3aw,1,"i go to san antonio because i've been sick for about 2 weeks now.  sore throat, runny nose, trouble breathing and shortness of breathe after getting up to go to the restroom.  get seen quickly (only one other person there besides myself) and go through x-ray... doctor sais i have bronchitis.  
okay cool, not coronavirus. 
i go to get my prescription (which they supposedly sent over electronically) get to walgreens and they have nothing in their system showing my prescription. 

call san antonio and they said they gave me a paper prescription... uhhh bullshit.  
why would you give me a paper prescription if you electronically sent it over? 
makes no sense.  

so, if i can't get my damn meds because of you guys and i end up with pneumonia, i'm coming after you.  

get it together san antonio.  

especially when you weren't busy by any means.",Bre M.,2020-03-14,https://www.yelp.com/biz/san-antonio-regional-hospital-upland?adjust_creative=upenn&hrid=Cr1ve7MCznfjGqM0mCU3aw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,San Antonio Regional Hospital,False,486,2.5,2020-06-23T17:39:23,19099852811.0,http://www.sarh.org,https://www.yelp.com/biz/san-antonio-regional-hospital-upland?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,999 San Bernardino Rd,Upland,CA,US,91786.0,,,Hospitals,,,,,
7689,VrYKvvZ7Ko9a9XJ2OrBing,GrlV_-6T-ofQiLZ73JHx6w,2,"i wasnt feeling well so my husband took me to the emergency room.  it was busy and we waited for about 5 hours. when i got to my room in the er the doctor was very blunt and to the point, almost on the verge of rude. but shelby my nurse was amazing! so sweet and funny, she really did make it easier.  my blood test was off so her ordered an ultrasound and a ct scan. those were done right away and about an hour after shelby came in to start an iv line. i asked why and she said oh because you're having surgery soon, didnt the doctor come in and tell you? ummm no he didnt! when i got admitted and they were about to take me to my room he literally popped his head in and said ""i'm sure you know by now that you're having surgery.  your gallbladder is not doing great so it needs to be removed."" oh ok thanks. worst bedside manner ever. 
they got me to my room, and i understand that it's not a hotel and we cant really pick and choose, but they put me in with an elderly lady who had pneumonia and some other things going on and was highly contagious.  why would you put someone who is healthy and about to have surgery in with someone who is super sick?! i had some stuff going on with me that caused me to be quarantined so they ended up moving her. my husband asked if they could have someone come in and clean the bathroom since she was up and about all over the room and they said sure. nobody ever came and we ended up doing it ourselves (good thing there were purple wipes outside my door!) 
we were originally told that i was scheduled for surgery first thing in the morning, then my surgeon came in and said it would be around 10am. that was the last we heard all day. we kept asking when they would be taking me in and nobody had a clue. the lack of communication was phenomenal.  i ended up being the last surgery of the day because apparently my surgeon is a pushover and others kept pushing us back since they knew he wouldn't get mad.(my nurses words not mine.) meanwhile i got to sit in extreme pain not being able to eat or drink. not even water. after surgery i wasnt feeling too great and i asked for pain meds at midnight. i didnt get them until 4am. horrible. i had to beg for one of those sponges to wet my lips because i still wasnt allowed to eat or drink and when the aide finally said yes he watched me like i was a criminal to make sure i didnt drink any water. horrible. i waited until 9pm the next day for the dr to come in and see me and he ordered an mri for the next morning. they took me at about 745am and that went fine...until they left me in the hallway for 45 minutes after the mri! the tech walked by and i asked if they were going to take me back and he said ""oh they haven't taken you back yet?"" hmmm...wow! there were other things that happened but i will leave it at that for now. this was by far the worst experience i have ever had here. i strongly recommend going somewhere else if you need any services(other than having a baby...in that respect they're pretty awesome). only reason for two stars is because the nurses i had were really nice.",emily m.,2020-02-21,https://www.yelp.com/biz/san-antonio-regional-hospital-upland?adjust_creative=upenn&hrid=GrlV_-6T-ofQiLZ73JHx6w&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,San Antonio Regional Hospital,False,486,2.5,2020-06-23T17:39:23,19099852811.0,http://www.sarh.org,https://www.yelp.com/biz/san-antonio-regional-hospital-upland?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,999 San Bernardino Rd,Upland,CA,US,91786.0,,,Hospitals,,,,,
7759,VrYKvvZ7Ko9a9XJ2OrBing,Rc3Po1UsYb_9k0wSc2BgAw,1,"what has happened to this hospital??  my husband has been here many times, and most visits were good, except for the extremely long waits in the er.  my husband had surgery on friday and stayed overnight.  he just finished chemotherapy, so his immune system has been wiped out.  they obviously didn't consider this at all, or didn't care; so they gave him a room in the old wing where more than half the patients in the unit were quarantined!!  there were warning signs on the doors, but the doors were left open, so germs and bacteria could freely travel throughout the ward.  the nurses were unfriendly and unattentive.  my husband had to go looking for his nurse, pat, twice, and found her visiting in the corridor.  he was released by the surgeon the morning after surgery, but it took several hours for the nurses to complete the paperwork.  he was given no breakfast, and no explanation, even though it was allowed.  he was told he would be given lunch before leaving, and he had to ask about it three times before he was finally given a tray.  his ""lunch"" was an omelet full of eggshells!  obviously someone's breakfast that they didn't want.  he was in excrutiating pain, but they refused to give him pain medication because the doctor's orders had already been written.  he told the nurse how severe his pain was, and instead of offering to call the doctor for permission to dispense more pain medication, she asked if she should call the doctor for permission to stay in the hospital another night, knowing that no one would volunteer to stay one more night in that terrible situation.  we are very upset and disappointed that the hospital has changed so drastically.  i see from the other reviews that this experience was not a one-time exception; it has become the norm.",M C.,2020-02-24,https://www.yelp.com/biz/san-antonio-regional-hospital-upland?adjust_creative=upenn&hrid=Rc3Po1UsYb_9k0wSc2BgAw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,San Antonio Regional Hospital,False,486,2.5,2020-06-23T17:39:23,19099852811.0,http://www.sarh.org,https://www.yelp.com/biz/san-antonio-regional-hospital-upland?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,999 San Bernardino Rd,Upland,CA,US,91786.0,,,Hospitals,,,,,
8221,3_00hw44GpzTcBeyRCsKSg,hqiFwgr3Dyw3TAXmrzZgGw,1,"around 2:30 am the sunday before thanksgiving, my mother was having severe dizziness & couldn't move without the room spinning.  she went by ambulance to st. mary's medical center hospital in langhorne.  

the nurse who hooked her up to the iv caused pain & swelling in my mom's hand while trying to get the needle in.  the ed doctor couldn't wait to send her home after giving her meds via the iv & pills then telling her she was okay to go.   while being wheeled out she began to vomit violently.   luckily the nurse/assist had compassion, helped her back into bed & said he'd inform the dr.  they hooked her back up to the iv & admitted her, but there were no beds available.  finally in the afternoon she was placed in a room.

tuesday afternoon when i came back.  my mom had uncontrollable diarrhea, soiled her clothes, bed, floor, & practically every surface in the bathroom .   i told her there was no way she was leaving the hospital & was in no condition to go home.  she said they already confirmed she's staying, expected to be released tomorrow morning, & they took a culture.  

wednesday morning it's confirmed she has the norovirus & will be released first thing thanksgiving morning.  we believe she contracted the norovirus after being admitted to st. mary's medical center hospital in langhorne on sunday.    i came to visit, see a sign by her room door  instructing visitors to report to the nurses station.  i approached the nurse's station; explain who i am, who i'm visiting, which room, & the sign.  i was told to put on gloves & smock that are on the wall by the door.  never doing this i asked for assistance only to get silence from the nurse's station as they watched me struggle.   the morning housekeeping woman is the one who explained the process to me.  my mom spent the night with the stench of feces coming from her uncleaned smelly bathroom.   she  told me that the night shift housekeeping woman walked in, opened the bathroom door, sighed, closed the door & walked out never to return.   my mom said the morning housekeeper came in to tidy up only to find the disgusting bathroom that had fecal matter still on the floor, walls, sink & toilet.    i told my mom to watch tv & she said she didn't want to pay.  as i left the hospital a visitor told me tv is free in patient's rooms.  i asked my mom's nurse why no one explained that tv was free.  the nurse said ""she never asked"".  my mom was given headphones for the tv on wednesday, but no one told her how/where to plug them in. 

thanksgiving morning i kept checking to see if she was released as they said they were sure she wanted to be home for thanksgiving.    she said she was fully dressed & the iv disconnect but was waiting for the dr. orders to go thru.  it wasn't until early afternoon when she wanted to sign herself out that they finally came in with her discharge papers.  

my mom was treated like a nonentity while she was a patient.  she was never given a welcome packet, never given her patient bill of rights.  nothing was ever explained to her.  i called patient advocacy on wednesday to complain about the lack of information only to be told ""all we can do is make suggestions"".   the patient advocate concierge did visit my mom on wednesday but only gave her a welcome packet containing substance abuse literature. 

after my mother's release, i called & spoke with the patient representative who was compassionate & apologetic.  i later received a call from the nurse manager of the floor my mother was on.  she told me that we should have called the number on the white board in my mother's room.  again, that wasn't explained to her or me while my mother was a patient.  it would have been helpful to know.    the nurse manager did tell me she will review my mother's concerns with their nursing team as they could have done a better job.",Elizabeth M.,2019-12-08,https://www.yelp.com/biz/st-mary-medical-center-langhorne-2?adjust_creative=upenn&hrid=hqiFwgr3Dyw3TAXmrzZgGw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,St Mary Medical Center,False,87,2.5,2020-02-28T02:24:27,12157102000.0,http://www.stmaryhealthcare.org/,https://www.yelp.com/biz/st-mary-medical-center-langhorne-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1201 Langhorne-Newtown Rd,Langhorne,PA,US,19047.0,,,Medical Centers,Home Health Care,,,,
10162,MoHAubvOF-CvuN5pGwIXBg,qjj26XnOuuJGk6D5PEzF0g,1,"i have already placed a call to hospital administration to make them aware of the subpar treatment we received, but i also want to make certain the public is aware as well. please do  not waste your time at this emergency dept. i highly recommend going to savannah as we should have done, but our son was very sick so we stopped here rather than proceeding to savannah. he had been diagnosed w type b flu on monday. our doctor encouraged us to return or take him to an er/urgent care if after hours if he became worse. in the early morning hours of wednesday he became much worse; screaming in pain, unable to feel his legs below the knees, and a spike in fever despite tylenol  & motrin, and began vomiting. we rushed him to coastal carolina er.  from the second we stepped in the door the treatment we received was inexcusable. the check in person yelled across the room to ask what was wrong as we were struggling to get him in the door. i explained
he had been diagnosed w flu earlier in the week & she simply threw a mask at me rather than offering some help to get him in. the triage nurse was hateful and also offered no help.  she put us in a cold room w no sheet or blanket on the bed and left. we were then greeted by an extremely hateful  dr sutherland who asked why we were there. we explained what was going on, his diagnosis, & then she asked what we expected her to do as this was common for the flu.  we explained our doctor told us to immediately have him seen if he became worse which he did, which is why we were there.  she looked at me & left the room. the triage nurse returns, does not bother to tell us what she's giving him until i ask. she gives him zofran and tylenol/motrin & leaves. my son was absolutely freezing so i walk to nurses desk to ask for a blanket & hear them discussing the fact of how ridiculous they think it is that we brought our son to the er. (i am fairly certain this is a hippaa violation...we have contacted the governing board as well). she snaps at me that she's ""fixin  to discharge him"" (her exact words) so a blanket wont be necessary.  i realize it was nearing the 7am shift change  but this lack of care our  son received is completely inexcusable. we will never return to this facility and will discourage anyone from visiting this er.",W C.,2020-01-19,https://www.yelp.com/biz/coastal-carolina-hospital-hardeeville?adjust_creative=upenn&hrid=qjj26XnOuuJGk6D5PEzF0g&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Coastal Carolina Hospital,False,12,3.0,2020-02-24T23:00:18,18437848000.0,http://www.coastalhospital.com,https://www.yelp.com/biz/coastal-carolina-hospital-hardeeville?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1000 Medical Center Dr,Hardeeville,SC,US,29927.0,32.320485999999995,-81.057283,Hospitals,,,,,
11270,V3P0I17W--mWJXIxjyMzjQ,vH3x2zpICBR48c4w4Vam5A,1,"cafeteria germs i ate at the cafeteria at kaiser morse sac hospital and all the tables were unwiped, covered with crumbs and bits of food which means they were loaded with germs. it was not busy at all so they could have cleaned them. avoid infection by avoiding this cafeteria. many hospital personnel eat there so if you touch a cafe table you will be in contact with ever infectious virus in the hospital. this is not to mention how disgusting is the reheated and prepackaged food they offer.",Tom L.,2020-02-28,https://www.yelp.com/biz/kaiser-permanente-sacramento-medical-center-and-medical-offices-sacramento?adjust_creative=upenn&hrid=vH3x2zpICBR48c4w4Vam5A&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Kaiser Permanente Sacramento Medical Center and Medical Offices,False,139,2.5,2020-05-28T09:59:21,19169735000.0,http://kaiserpermanente.org,https://www.yelp.com/biz/kaiser-permanente-sacramento-medical-center-and-medical-offices-sacramento?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,2025 Morse Ave,Sacramento,CA,US,95825.0,,,Hospitals,,,,,
12586,ED2MEiYmzaGRc3HlerE3Dg,YKjJZGcZG9vly3DfbG66ZA,1,brought my mom is a few months ago (before the coronavirus) because she couldn't regulate her temperature due to her cancer treatments. the nurse kept saying we were safer to stay home. i get it! we are surrounded by sick people but she was covered in blankets and heating pads and felt like she was going to freeze. when she finally got a room days later the nurse was more concerned about the paperwork than my mom. she asked us the same questions we already answered three times before about her medications and medical history. mom started to get chills again which is always followed by a high fever. i told her and that tylenol would do the trick. she wouldn't give it to her bc the fever hadn't spiked yet. it's just tylenol!!! she kept asking her questions but by then my mom was delirious and couldn't even say her own name! she kept saying she was fine and just tired. i begged for tylenol but they refused. they used the external temperature and it was 99. they said they will wait till it got to 100 to give her tylenol. i brought my own oral thermometer and it read 102. finally i had to call the head nurse to get help and by then her fever was 103!!!! this is the worst place! i hope that nurse gets fired!!! they had no regard for my moms well being and we will never go there again.,Nina R.,2020-03-15,https://www.yelp.com/biz/seton-medical-center-daly-city?adjust_creative=upenn&hrid=YKjJZGcZG9vly3DfbG66ZA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Seton Medical Center,False,219,2.5,2020-06-03T13:59:31,16509924000.0,https://seton.verity.org,https://www.yelp.com/biz/seton-medical-center-daly-city?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1900 Sullivan Ave,Daly City,CA,US,94015.0,,,Hospitals,,,,,
14045,OooytCQD7lrRHoVor27lnA,gRedu5bmDznhpHeY4FALWg,3,"my grandfather went in a normal functioning senior when i brought him to the er to have fluid drained from his lung. we were moved to the third-floor until they could do the procedure (we were told we would be called before they took him in so we could be there when he woke up) they never called. they didn't call before hand and they didn't call when he came out of surgery either. he was heavily medicated with morphine. when we arrived to the hospital he was  restricted to the bed with restraints on his hands and legs. he was combative due to the anesthesia and morphine. he was sedated all day and would start to come back to life at night, hungry, wanting to get up, wanting answers as to where he was, he was very confused, he would start to get upset and they would sedate him because he would start to get combative, this lasted for three days. i had to stay in the hospital with him over night to insure they wouldn't sedate him again. it was crazy to me that the second a patient would get upset they would sedate him. i was told several times oh he's old....this is how how old people act...they thought he had dementia. i kept explaining no, he doesn't act like this..it's something else...it's the medication you're giving him. go to find out they are giving him anti psychotics looking into it further he had every side effect of the antipsychotic medication they were giving him which was making him behave that way. i felt like i couldn't leave him at the hospital alone because i was worried he would be mistreated. from that first day of coming out of surgery he was labeled as a hazard a threat to himself and a threat to others that followed him throughout his two week stay at the hospital even though that had only lasted those first three days due to the medication that was being given to him once we order doctors and nurses not to give him the antipsychotic drug everything started to subside  long story short the part of my complaint is this- my grandfather was moved from five different rooms five different floors. i would ask a question the nurses would say oh this is at my floor i don't know. five different doctors all telling us different information and ordering different medication. nurses coming in at all hours of the night being super loud with no intention of really doing anything just basically coming in and being disruptive and result waking him up when he finally goes to sleep. the 5th floor in the north tower was awful. once he was on that floor no one could be bothered with him. and when it was time for discharge they said his ambulance would arrive at 5, 5 turned into 530, 530 turned into 6, 6 turned into 7, 7 turned into 8, 8 turned into 9. we said this is ridiculous and we're not gonna send a sleeping man to a rehabilitation that he's never been to before when he's having short-term memory confusion at 9 o'clock at night it will only confuse him and upset him not to mention it's 9 at night and i have to get home to my family myself, i didn't want him arriving alone... just send him tomorrow..they said no you have to leave the doctors already ordered the discharge and said there was nothing they could do about it and forced him to leave. totally unexceptionable in my opinion. no one ever checked his chart and would always ask what floor he came from, what did he have done...and so on. no one ever knew what was going on. too many doctors taking care of one person. none of them were on the same page . the third floor was the only decent part of this experience, we had one nurse named christina and she was amazing and we are thankful for her help.",Jane D.,2020-01-31,https://www.yelp.com/biz/providence-saint-joseph-medical-center-burbank?adjust_creative=upenn&hrid=gRedu5bmDznhpHeY4FALWg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Providence Saint Joseph Medical Center,False,483,3.0,2020-06-10T19:54:41,18188435111.0,http://providence.org/saintjoseph,https://www.yelp.com/biz/providence-saint-joseph-medical-center-burbank?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,501 S Buena Vista St,Burbank,CA,US,91505.0,,,Hospitals,Medical Centers,,,,
14582,s5GerbakM8tEXjsKDni6yg,nKCgKUTtQEdh4PYU05OP6A,1,i was at the orthopedic in st barnabas hospital yesterday and i ask for a mask hey with the coronavirus we need to take some precautions and the lady at the front desk told me we don't have mask what!!!they don't have mask .they don't have sanitizer no ac. we are in danger i've been calling since yesterday to make a complaint and they don't even pick up the phone,Enitza S.,2020-03-10,https://www.yelp.com/biz/st-barnabas-hospital-bronx-6?adjust_creative=upenn&hrid=nKCgKUTtQEdh4PYU05OP6A&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,St Barnabas Hospital,False,31,2.0,2020-06-29T18:27:11,17189609000.0,http://www.sbhny.org,https://www.yelp.com/biz/st-barnabas-hospital-bronx-6?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,4422 3rd Ave,Bronx,NY,US,10457.0,,,Hospitals,,,,,
14583,s5GerbakM8tEXjsKDni6yg,N0t5s1APCPctYPtxeeRrmw,1,"the worst er in the area . they quarantine you no one checks to see if you have fever or shortness of breath and it's now going on 3 1/2 hours and no one has yet come to the room of the current team spoke to the charge nurse nicole said they're waiting on housekeeping to clean the rooms which they said almost an hour and a half ago so worst er to come to.
no nurses have come and  taken vitals. it horrible experience and not one person seems
to care .",Parul M.,2020-03-13,https://www.yelp.com/biz/st-barnabas-hospital-bronx-6?adjust_creative=upenn&hrid=N0t5s1APCPctYPtxeeRrmw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,St Barnabas Hospital,False,31,2.0,2020-06-29T18:27:11,17189609000.0,http://www.sbhny.org,https://www.yelp.com/biz/st-barnabas-hospital-bronx-6?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,4422 3rd Ave,Bronx,NY,US,10457.0,,,Hospitals,,,,,
